strategy,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles
donchian_breakout,1,3430,0.32740524781341107,0.5475461321069768,-0.079596234410947,273.1833037153074,1.3854701585151854,-273.01508402954823,20,,,1.2,,0.006,0.003,45
donchian_breakout,2,3723,0.32634971796937956,0.542114121356174,-0.08096134748733859,302.1007915105438,-3.580528906924371,-301.4190966953616,10,,,1.2,,0.006,0.003,45
donchian_breakout,3,3577,0.3242941012021247,0.5387904029123364,-0.08128377463359963,290.8236138575966,-4.593899424155529,-290.7520618643859,20,,,1.0,,0.006,0.003,45
donchian_breakout,4,3489,0.30868443680137575,0.538127558319529,-0.07845054486764791,273.89366457925644,5.408212241673089,-273.7139510432236,20,,,1.2,,0.006,0.0025,45
donchian_breakout,5,3964,0.3216448032290615,0.5288206626013474,-0.08355404125138635,331.27977151370857,-14.093857063320836,-331.2082195204955,10,,,1.0,,0.006,0.003,45
donchian_breakout,6,3187,0.318167555695011,0.5286385120043943,-0.08417540621246268,269.14615255820456,-13.312344536933324,-268.26701959911856,30,,,1.2,,0.006,0.003,45
donchian_breakout,7,3401,0.32225815936489266,0.5280856481654188,-0.08388307051208345,286.40676048183246,-13.211607454577678,-285.2863228115958,10,,,1.5,,0.006,0.003,45
donchian_breakout,8,3178,0.3219005663939585,0.527504943734197,-0.08420954585076806,268.23604464001266,-13.383290029752798,-267.6179367137409,20,,,1.5,,0.006,0.003,45
donchian_breakout,9,3813,0.3057959611854183,0.5274764819328523,-0.0812270514892051,310.032055993796,-4.6806195761695415,-309.7187473283391,10,,,1.2,,0.006,0.0025,45
donchian_breakout,10,3647,0.30518234165067176,0.5258909148528673,-0.08097137628176042,295.3741612927912,-3.5440269103444115,-295.30260929958024,20,,,1.0,,0.006,0.0025,45
donchian_breakout,11,3307,0.3150892047172664,0.5230971906764073,-0.08521549381805346,282.3068910153892,-17.254539872251698,-281.8076380563028,30,,,1.0,,0.006,0.003,45
donchian_breakout,12,3965,0.36368221941992435,0.5211020820935082,-0.08103191847033471,321.36310872809224,-4.093194012482114,-321.29155673487713,10,,,1.2,,0.004,0.003,45
donchian_breakout,13,3231,0.30331166821417516,0.5200557172608038,-0.08264281700840716,267.6002921389668,-8.542358697642552,-267.0189417541635,20,,,1.5,,0.006,0.0025,45
donchian_breakout,14,3469,0.30152781781493226,0.5160867524116335,-0.08352621423350678,290.95827790091505,-12.237332108878578,-289.752437176035,10,,,1.5,,0.006,0.0025,45
donchian_breakout,15,3242,0.29827267119062306,0.5159967580907635,-0.08348516668875305,271.4030253135355,-11.303431777648443,-270.6589104049374,30,,,1.2,,0.006,0.0025,45
donchian_breakout,16,3598,0.2818232351306281,0.5155551543959519,-0.07885391444637516,283.9603061026059,4.1252659283135005,-283.7163841780578,20,,,1.2,,0.006,0.002,45
donchian_breakout,17,3597,0.35974423130386435,0.5151066036493793,-0.08223892180792694,295.8134017431162,-8.056624392870338,-295.8134017431132,10,,,1.5,,0.004,0.003,45
donchian_breakout,18,3647,0.363312311488895,0.5149965575220481,-0.08231414803865097,300.27124989017295,-8.44307512701088,-300.1996978969601,20,,,1.2,,0.004,0.003,45
donchian_breakout,19,3353,0.36057262153295555,0.5140655820335216,-0.08270566390716705,277.31209108073233,-9.075721369278805,-277.31209108073114,20,,,1.5,,0.004,0.003,45
