experiment_id,created_at_utc,strategy,timeframe,dataset,config_file,leaderboard_file,total_configurations,eligible_configurations,best_profit_factor,best_expectancy,best_max_drawdown,best_total_trades,best_configuration,status
EXP-000001,,mean_reversion,1m,data/BTCUSDT_1m.csv,,,,,0.5136033077,-0.07177858043,,,"{""distance_from_ema20"": -0.002, ""max_holding_candles"": 20, ""rsi_threshold"": 25, ""stop_loss_pct"": 0.002, ""take_profit_pct"": 0.003, ""volume_ratio"": 1.0}",completed
EXP-000002,2026-07-14T16:49:17Z,mean_reversion,1m,data/BTCUSDT_1m.csv,research/optimization/grid_search/mean_reversion_smoke.yaml,research/leaderboards/mean_reversion_smoke_v1.csv,48,48,0.5136033077,-0.07177858043,169.2097674,2354,"{""distance_from_ema20"": -0.002, ""max_holding_candles"": 20, ""rsi_threshold"": 25, ""stop_loss_pct"": 0.002, ""take_profit_pct"": 0.003, ""volume_ratio"": 1.0}",completed
EXP-000003,2026-07-14T19:37:02Z,donchian_breakout,1m,data/BTCUSDT_1m.csv,research/optimization/grid_search/donchian_breakout_smoke.yaml,research/leaderboards/donchian_breakout_smoke_v1.csv,243,243,0.5475461321,-0.07959623441,273.1833037,3430,"{""lookback"": 20, ""max_holding_candles"": 45, ""source_file"": ""donchian_breakout_smoke_v1.csv"", ""stop_loss_pct"": 0.003, ""take_profit_pct"": 0.006, ""volume_ratio"": 1.2}",imported
EXP-000004,2026-07-14T19:37:22Z,donchian_breakout,5m,data/BTCUSDT_1m.csv,research/optimization/grid_search/donchian_breakout_5m_smoke.yaml,research/leaderboards/donchian_breakout_5m_smoke_v1.csv,324,324,0.7754613871,-0.05827413178,68.35399981,1057,"{""lookback"": 10, ""max_holding_candles"": 36, ""source_file"": ""donchian_breakout_5m_smoke_v1.csv"", ""stop_loss_pct"": 0.005, ""take_profit_pct"": 0.006, ""volume_ratio"": 0.8}",imported
EXP-000005,2026-07-14T20:58:35Z,donchian_breakout,5m,data/BTCUSDT_1m.csv,research/optimization/grid_search/donchian_breakout_5m_focused_v2.yaml,research/leaderboards/donchian_breakout_5m_focused_v2.csv,324,324,0.8275194397,-0.04795781206,67.33127391,1153,"{""lookback"": 5, ""max_holding_candles"": 48, ""stop_loss_pct"": 0.006, ""take_profit_pct"": 0.006, ""volume_ratio"": 0.6}",completed
EXP-000006,2026-07-14T21:52:34Z,donchian_breakout,5m,data/BTCUSDT_1m.csv,research/optimization/grid_search/donchian_breakout_5m_focused_v3.yaml,research/leaderboards/donchian_breakout_5m_focused_v3.csv,324,324,0.8536834048,-0.04112645311,63.50248889,1161,"{""lookback"": 5, ""max_holding_candles"": 60, ""stop_loss_pct"": 0.006, ""take_profit_pct"": 0.006, ""volume_ratio"": 0.4}",completed
EXP-000007,2026-07-14T22:32:51Z,donchian_breakout,15m,data/BTCUSDT_1m.csv,research/optimization/grid_search/donchian_breakout_15m_smoke_v1.yaml,research/leaderboards/donchian_breakout_15m_smoke_v1.csv,432,432,0.911633892,-0.03405610586,30.37891143,507,"{""lookback"": 3, ""max_holding_candles"": 24, ""stop_loss_pct"": 0.008, ""take_profit_pct"": 0.012, ""volume_ratio"": 0.4}",completed
EXP-000008,2026-07-15T00:40:17Z,donchian_breakout,15m,data/BTCUSDT_1m.csv,research/optimization/grid_search/donchian_breakout_15m_quality_smoke_v1.yaml,research/leaderboards/donchian_breakout_15m_quality_smoke_v1.csv,128,128,0.8577145254,-0.0526347335,59.25014502,990,"{""lookback"": 3, ""max_holding_candles"": 24, ""min_atr_expansion"": 0.9, ""min_body_to_range"": 0.6, ""min_breakout_distance_pct"": 0.0005, ""min_close_location"": 0.7, ""min_ema20_slope_pct"": 0.0, ""min_ema_alignment_strength"": 0.0, ""min_quality_score"": 5, ""min_range_expansion"": 1.25, ""stop_loss_pct"": 0.008, ""take_profit_pct"": 0.012, ""volume_ratio"": 0.4}",completed
EXP-000009,2026-07-15T01:36:37Z,donchian_breakout,15m,data/BTCUSDT_1m.csv,research/optimization/grid_search/donchian_breakout_15m_quality_smoke_v1.yaml,research/leaderboards/donchian_breakout_15m_quality_smoke_v1.csv,128,128,0.8577145254,-0.0526347335,59.25014502,990,"{""lookback"": 3, ""max_holding_candles"": 24, ""min_atr_expansion"": 0.9, ""min_body_to_range"": 0.6, ""min_breakout_distance_pct"": 0.0005, ""min_close_location"": 0.7, ""min_ema20_slope_pct"": 0.0, ""min_ema_alignment_strength"": 0.0, ""min_quality_score"": 5, ""min_range_expansion"": 1.25, ""stop_loss_pct"": 0.008, ""take_profit_pct"": 0.012, ""volume_ratio"": 0.4}",completed
EXP-000010,2026-07-15T13:39:32Z,donchian_breakout,15m,data/BTCUSDT_1m.csv,research/optimization/grid_search/donchian_breakout_15m_quality_regression.yaml,research/leaderboards/donchian_breakout_15m_quality_regression.csv,2,2,0.8577145254,-0.0526347335,59.25014502,990,"{""lookback"": 3, ""max_holding_candles"": 24, ""min_atr_expansion"": 0.9, ""min_body_to_range"": 0.6, ""min_breakout_distance_pct"": 0.0005, ""min_close_location"": 0.7, ""min_ema20_slope_pct"": 0.0, ""min_ema_alignment_strength"": 0.0, ""min_quality_score"": 5, ""min_range_expansion"": 1.25, ""stop_loss_pct"": 0.008, ""take_profit_pct"": 0.012, ""volume_ratio"": 0.4}",completed
EXP-000011,2026-07-15T14:00:31Z,donchian_breakout,15m,data/BTCUSDT_1m.csv,research/optimization/grid_search/donchian_breakout_15m_quality_regression.yaml,research/leaderboards/donchian_breakout_15m_quality_regression.csv,2,2,0.8577145254,-0.0526347335,59.25014502,990,"{""lookback"": 3, ""max_holding_candles"": 24, ""min_atr_expansion"": 0.9, ""min_body_to_range"": 0.6, ""min_breakout_distance_pct"": 0.0005, ""min_close_location"": 0.7, ""min_ema20_slope_pct"": 0.0, ""min_ema_alignment_strength"": 0.0, ""min_quality_score"": 5, ""min_range_expansion"": 1.25, ""stop_loss_pct"": 0.008, ""take_profit_pct"": 0.012, ""volume_ratio"": 0.4}",completed
EXP-000012,2026-07-15T14:15:34Z,donchian_breakout,15m,data/BTCUSDT_1m.csv,research/optimization/grid_search/donchian_breakout_15m_quality_regression.yaml,research/leaderboards/donchian_breakout_15m_quality_regression.csv,2,2,0.8577145254,-0.0526347335,59.25014502,990,"{""lookback"": 3, ""max_holding_candles"": 24, ""min_atr_expansion"": 0.9, ""min_body_to_range"": 0.6, ""min_breakout_distance_pct"": 0.0005, ""min_close_location"": 0.7, ""min_ema20_slope_pct"": 0.0, ""min_ema_alignment_strength"": 0.0, ""min_quality_score"": 5, ""min_range_expansion"": 1.25, ""stop_loss_pct"": 0.008, ""take_profit_pct"": 0.012, ""volume_ratio"": 0.4}",completed
